Site,Plot,Row,Column,Species,C_E_or_T,Rep,Number_seeds_sown,February_germination,Number_germinated,Notes_germination
3,A,4,3,POLE,C,2,15,0,0,NA
3,A,4,4,TROR,T,1,15,0,1,NA
3,A,4,5,TROR,T,2,15,0,1,NA
3,A,4,6,PEAI,C,3,15,0,0,NA
3,A,4,7,PLDE,C,2,15,0,3,NA
3,A,4,8,PEAI,T,2,15,0,1,NA
3,A,4,9,ARCA,E,2,15,0,9,NA
3,A,5,1,TROR,E,2,15,0,4,NA
3,A,5,2,VERO,C,1,15,0,1,Swap
3,A,5,8,TRCY,T,2,15,0,2,NA
3,A,5,9,TROR,E,3,15,0,1,NA
3,A,6,1,POLE,C,3,15,0,0,NA
3,A,6,2,ARCA,T,2,15,1,1,Late germination
3,A,6,8,VERO,T,2,15,1,0,Swap
3,A,6,9,PLDE,E,1,15,0,6,NA
3,A,7,1,VERO,C,3,15,0,3,NA
3,A,7,2,VERO,C,2,15,0,3,Swap
3,A,7,8,POLE,T,1,15,0,0,NA
3,A,7,9,PEAI,T,1,15,0,0,NA
3,A,8,1,LARO,E,1,15,0,2,NA
3,A,8,2,LARO,C,2,15,0,4,Swap
3,A,8,3,TRCY,E,3,15,0,4,NA
3,A,8,4,POLE,C,1,15,0,0,NA
3,A,8,6,HYGL,E,3,15,0,0,NA
3,A,8,7,PEAI,E,2,15,0,0,NA
3,A,8,8,LARO,C,3,15,0,5,NA
3,A,8,9,TRCY,E,2,15,0,3,NA
3,A,9,1,PEAI,C,1,15,0,0,NA
3,A,9,2,HYGL,T,1,15,0,0,NA
3,A,9,3,VERO,T,1,15,0,0,Swap
3,A,9,4,TROR,E,1,15,0,1,NA
3,A,9,6,LARO,E,2,15,0,1,Swap
3,A,9,7,TROR,C,1,15,0,2,NA
3,A,9,8,HYGL,C,2,15,0,2,NA
3,A,9,9,TRCY,T,4,15,0,0,"Renaming this TRCY T4 since in original sheet was TRCY_T1 in species name, no germination"
3,A,10,1,ARCA,C,3,15,0,1,NA
3,A,10,2,PLDE,E,2,15,0,2,NA
3,A,10,3,PLDE,E,3,15,0,2,NA
3,A,10,4,VERO,E,1,15,0,4,NA
3,A,10,6,LARO,T,1,15,0,0,Swap
3,A,10,7,PLDE,C,1,15,0,2,NA
3,A,10,8,ARCA,E,3,15,0,4,NA
3,A,10,9,TROR,C,2,15,0,0,NA
3,B,1,1,TROR,E,2,15,0,1,NA
3,B,1,2,TRCY,E,1,15,0,3,Swap
3,B,1,3,PEAI,C,3,15,0,2,Plus 2g
3,B,1,4,TROR,E,3,15,0,1,NA
3,B,1,5,LARO,C,1,15,0,0,NA
3,B,1,6,POLE,C,2,15,0,0,NA
3,B,1,7,ARCA,T,2,15,1,0,Swap
3,B,1,8,HYGL,C,1,15,0,0,NA
3,B,1,9,LARO,E,2,15,0,0,NA
3,B,2,1,LARO,C,3,15,0,0,NA
