Product code,Station number,Year,Month,monthly_total_precipitation_mm,Quality
IDCJAC0001,8107,1961,1,29.2,Y
IDCJAC0001,8107,1961,2,0,Y
IDCJAC0001,8107,1961,3,2.1,Y
IDCJAC0001,8107,1961,4,124.2,Y
IDCJAC0001,8107,1961,5,30.7,Y
IDCJAC0001,8107,1961,6,100.9,Y
IDCJAC0001,8107,1961,7,38.3,Y
IDCJAC0001,8107,1961,8,33.6,Y
IDCJAC0001,8107,1961,9,4.8,Y
IDCJAC0001,8107,1961,10,3.8,Y
IDCJAC0001,8107,1961,11,0,Y
IDCJAC0001,8107,1961,12,2.8,Y
IDCJAC0001,8107,1962,1,7.1,Y
IDCJAC0001,8107,1962,2,3.8,Y
IDCJAC0001,8107,1962,3,4.8,Y
IDCJAC0001,8107,1962,4,11.4,Y
IDCJAC0001,8107,1962,5,151.8,Y
IDCJAC0001,8107,1962,6,56.8,Y
IDCJAC0001,8107,1962,7,36,Y
IDCJAC0001,8107,1962,8,16.5,Y
IDCJAC0001,8107,1962,9,15.7,Y
IDCJAC0001,8107,1962,10,22.1,Y
IDCJAC0001,8107,1962,11,6.6,Y
IDCJAC0001,8107,1962,12,19.6,Y
IDCJAC0001,8107,1963,1,34.7,Y
IDCJAC0001,8107,1963,2,9.4,Y
IDCJAC0001,8107,1963,3,23.7,Y
IDCJAC0001,8107,1963,4,43.7,Y
IDCJAC0001,8107,1963,5,90.2,Y
IDCJAC0001,8107,1963,6,79.4,Y
IDCJAC0001,8107,1963,7,88.2,Y
IDCJAC0001,8107,1963,8,75.7,Y
IDCJAC0001,8107,1963,9,15.8,Y
IDCJAC0001,8107,1963,10,2.5,Y
IDCJAC0001,8107,1963,11,7.9,Y
IDCJAC0001,8107,1963,12,4.8,Y
IDCJAC0001,8107,1964,1,11.4,Y
IDCJAC0001,8107,1964,2,24.2,Y
IDCJAC0001,8107,1964,3,6.1,Y
IDCJAC0001,8107,1964,4,27.6,Y
IDCJAC0001,8107,1964,5,1.3,Y
IDCJAC0001,8107,1964,6,106.3,Y
IDCJAC0001,8107,1964,7,90,Y
IDCJAC0001,8107,1964,8,50.7,Y
IDCJAC0001,8107,1964,9,20.8,Y
IDCJAC0001,8107,1964,10,12.5,Y
IDCJAC0001,8107,1964,11,19.6,Y
IDCJAC0001,8107,1964,12,3.3,Y
IDCJAC0001,8107,1965,1,6,Y
IDCJAC0001,8107,1965,2,0,Y
IDCJAC0001,8107,1965,3,25.7,Y
IDCJAC0001,8107,1965,4,2.6,Y
IDCJAC0001,8107,1965,5,52.8,Y
IDCJAC0001,8107,1965,6,135.2,Y
IDCJAC0001,8107,1965,7,59.4,Y
IDCJAC0001,8107,1965,8,47.2,Y
IDCJAC0001,8107,1965,9,9.1,Y
IDCJAC0001,8107,1965,10,20.4,Y
IDCJAC0001,8107,1965,11,42.6,Y
IDCJAC0001,8107,1965,12,0,Y
IDCJAC0001,8107,1966,1,0,Y
IDCJAC0001,8107,1966,2,13.2,Y
IDCJAC0001,8107,1966,3,0,Y
IDCJAC0001,8107,1966,4,126.9,Y
IDCJAC0001,8107,1966,5,4.5,Y
IDCJAC0001,8107,1966,6,69.5,Y
IDCJAC0001,8107,1966,7,42.1,Y
IDCJAC0001,8107,1966,8,37.3,Y
IDCJAC0001,8107,1966,9,29.5,Y
IDCJAC0001,8107,1966,10,38.1,Y
